"iteration","status","n_pres","n_abs","loglik","pBIC","mu1","mu2","mu3","sigltil1","sigltil2","sigltil3","sigrtil1","sigrtil2","sigrtil3","ctil","pd","o_par1","o_par2","o_par3"
1,"success",552,552,-309.580672265278,703.2416872526,413.660372813607,-473.049603419399,1.6254095585206,Inf,1.59857215433559,3.82409139864366,-0.129693014790231,0.184520646321293,245.115026396271,-93.8792584243751,Inf,-6.37762383658679,-5.72629469341835,-3.29161905340413
2,"success",561,561,-340.343318011017,764.961053055025,27.7256739932547,-2.79307858356671,10.1014983435886,Inf,1.24960730426054,-0.0221568908527079,-2.37362236284562,1.61477444190332,1.80046508602645,-3.65776547363877,Inf,4.46735488033237,1.86315039110831,2.62576769896324
3,"success",580,580,-340.372427706501,765.418958822207,16.7917983364212,-6.31576869600797,9.31918790788388,Inf,-0.626950773066782,2.61026822017355,-0.992371476434913,1.96201644538379,-1.33527315405579,-2.62425531943032,Inf,7.37307264914996,4.78988624719083,-5.09975554617104
4,"success",571,571,-363.427648336414,811.341733355419,16.2251742618354,-4.52040877413525,12.4628758395858,Inf,-0.364784712773541,-0.346136053596305,-0.61411257747375,2.2479050269266,1.55851250364675,-3.21340406989796,Inf,-0.505491380171866,-1.97337215124234,0.0928318046804419
5,"success",570,570,-324.490057385947,733.445517268556,18.822505190838,-6.05106520541316,13.4834539607236,Inf,-0.267952204364837,2.40774810675878,0.0278576156810137,1.20352391579794,-0.332046053395585,-3.39313311955266,Inf,7.90837638754806,4.60150174994951,-4.51525625018112
6,"success",561,561,-330.737545205519,745.74950744403,17.4300981953256,1.74884396527218,17.1967247680157,Inf,0.500481876135663,0.877178903682577,-9.91472412577607,2.02231544845205,1.56394278773963,-3.66345741701185,Inf,-0.546075022261302,-2.64801346921201,0.408650310719951
7,"success",583,583,-339.629120341162,763.994253085249,20.6354721221459,-1.0065752991378,17.1282656655537,Inf,1.349000721866,1.94957866970497,-2.15006197788494,1.11097830332821,20.386415813789,-3.60003573603024,Inf,-7.62972245443815,-5.73007445603407,-0.32250598636696
8,"success",559,559,-295.576332163683,675.384224171946,19.3195024530753,-0.218092477934598,14.725309575866,Inf,0.614653409192681,0.923217456893361,-6.85769682995772,1.50056157136281,1.89616560838605,-4.03039534769951,Inf,-1.75224231557421,2.58050154905035,-0.403517031323603
9,"success",554,554,-298.47506488046,681.073872168608,16.9607757751364,-7.60804799197327,13.3288404199992,Inf,-0.89586363467813,-0.188758320923259,-0.934002582257551,2.35211360591555,1.42636666499033,-3.60678259054776,Inf,-0.564413790467956,-1.93460259954757,0.0212109446659953
10,"success",554,554,-326.158498184848,736.440738777383,18.1838312601672,-5.07887457258986,12.0038766397531,Inf,-0.184547401075725,2.21996868555843,-0.605764282915625,1.26549062998272,-0.358123155587991,-3.54325710369872,Inf,-6.80173970742423,-3.81706068110822,3.76055039963777
