"iteration","status","n_pres","n_abs","loglik","pBIC","mu1","mu2","sigltil1","sigltil2","sigrtil1","sigrtil2","ctil","pd","o_par1"
1,"success",233,233,-133.469130096055,309.94755963099,19.5107311839261,185.41642202425,Inf,-9.93750452065509,37.3051928791669,1.46349816996809,-2.4808754674452,Inf,-7.83816706741215
2,"success",236,236,-140.11559310554,323.330039110179,21.3901673179458,13.8961356137421,Inf,1.71127752058248,0.894615874654703,-1.55509767149224,-2.65912292338605,Inf,1.10333106277177
3,"success",216,216,-104.785969289828,252.050917697364,26.3016443251775,24.3054687364165,Inf,1.95439958202309,-8.00725537355086,-10.7812004288717,-2.33968877214032,Inf,-5.48406676288697
4,"success",234,234,-142.445071510234,327.929421091891,1140.3304242124,-386.312970311411,Inf,0.886728904452848,4.67083322863783,-0.00794229282530501,-64.021836374793,Inf,2.79900413494022
5,"success",227,227,-115.634720457236,274.096121300761,22.3014045266116,91.2551992670718,Inf,-3.01203547979511,2.02331486609986,1.62234870170359,-2.86275225213282,Inf,4.77610047500199
6,"success",227,227,-118.332507285022,279.491694956334,20.266352075473,99.3718545651743,Inf,3.57903399013545,-10.0925551037725,2.07267556146781,-2.68076128386495,Inf,3.13992359343486
7,"success",230,230,-129.838541791718,302.595669009819,27.2806671935069,23.3147634550594,Inf,0.581356774461945,-4.6463379211704,0.655457910302064,-2.07767563301624,Inf,-4.82840785764079
8,"success",216,216,-110.830885092552,264.140749302812,28.4244611189085,20.1243413531887,Inf,1.80886668169953,1.66102269356341,-2.5890959739089,-2.71405673963735,Inf,-7.48005097452291
9,"success",230,230,-145.245332148258,333.409249722897,30.7236026774782,117.292898377987,Inf,2.97792382983685,-1.85332617465599,3.60124898359707,-1.91764788341459,Inf,0.0273842758325584
10,"success",234,234,-147.669930714029,338.379139499482,19.8785110511753,11.125508622394,Inf,1.08661316395554,-10.2674720082366,-0.246217154697211,-2.619099462675,Inf,-3.32265522545009
