"iteration","status","loglik","pBIC","mu1","mu2","sigltil1","sigltil2","sigrtil1","sigrtil2","ctil","pd","o_par1"
1,"success",-333.612320112379,712.617086874204,22.6816120381544,14.6751864741338,Inf,0.246945362503413,-0.414939052385558,1.48435416904188,-1.38608317187488,Inf,-2.87379995906825
2,"success",-319.958609786465,685.309666222377,24.0551869662163,10.8422936211038,Inf,0.988572502833633,-0.262690201634854,0.764184636450123,-1.71239395154964,Inf,-9.09463430974697
3,"success",-321.105946827136,687.604340303718,22.5768319630688,14.6875143325968,Inf,0.328521028085076,-0.632367210164012,1.37037777233082,-1.64360560760853,Inf,9.59141279440429
4,"success",-307.326159621687,660.04476589282,23.9283459474829,13.963585383401,Inf,0.343926308808165,-0.0581336739480505,1.13289768494129,-2.07460406879898,Inf,9.70757769899865
5,"success",-310.900266814369,667.192980278184,23.1875102054527,13.1269950029425,Inf,0.428406978805147,-0.395549543273499,1.14798306894599,-1.74909454597287,Inf,9.76402984129249
6,"success",-301.172228128222,647.73690290589,23.4160575368907,12.4130512287751,Inf,0.493187693909968,-0.457030183524704,0.999208654778236,-2.0946005837096,Inf,-2.75437445755517
7,"success",-305.903071559635,657.198589768717,23.4699015432431,13.1809455286904,Inf,0.471597503371391,-0.258481677153375,1.11424756034738,-2.01322467836745,Inf,-2.75296117593056
8,"success",-351.358368169465,748.109182988378,23.183276135936,13.7768347273486,Inf,0.516455930736514,-0.167720000659007,1.42245670010101,-1.37492154786061,Inf,-2.85153238335007
9,"success",-340.494040330763,726.380527310972,23.3180325898481,13.340435006247,Inf,0.674577115644004,-0.301329117650627,1.34250875526242,-1.28878069972963,Inf,-9.17638062492884
10,"success",-310.063349735091,665.519146119628,22.5773138077468,13.2516584323653,Inf,0.125419308789836,-0.571760711165136,1.26999492822232,-1.95168091115402,Inf,-8.92713219012365
