Condylura cristata
Tamandua mexicana
Tamandua tetradactyla
Myrmecophaga tridactyla
Macaca mulatta
Macaca radiata
Alouatta palliata
Lepus townsendii
Lepus granatensis
Sylvilagus palustris
Sylvilagus nuttallii
Sylvilagus aquaticus
Sylvilagus audubonii
Ochotona princeps
Cynomys ludovicianus
Cynomys gunnisoni
Funambulus pennant
Funambulus palmarum
Tamiasciurus douglas
Tamiasciurus hudsonicus
Glaucomys volans
Paraxerus cepapi
Marmota flaviventris
Marmota marmota
Callosciurus erythraeus
Xerus inauris
Ammospermophilus leucurus
Apodemus agrarius
Reithrodontomys megalotis
Peromyscus maniculatus
Peromyscus truei
Peromyscus boylii
Rhabdomys pumilio
Melomys cervinipes
Rattus lutreolus
Rattus villosissimus
Myopus schisticolor
Thomomys talpoides
Dipodomys merriami
Dipodomys ordii
Didelphis marsupialis
Phascolarctos cinereus
Aepyprymnus rufescens
Petaurus norfolcensis
Pseudocheirus peregrinus
Petauroides volans
Petrogale penicillata
Wallabia bicolor
Cercartetus nanus
Euphractus sexcinctus
Chaetophractus villosus
Antilocapra americana
Axis axis
Pecari tajacu
Syncerus caffer
Oreotragus oreotragus
Capra pyrenaica
Capra ibex
Antidorcas marsupialis
Connochaetes taurinus
Raphicerus campestris
Aepyceros melampus
Sylvicapra grimmia
Phacochoerus africanus
Apalone spinifera
Chondrodactylus bibronii
Coleonyx variegatus
Chamaeleo dilepis
Pseudechis porphyriacus
Austrelaps superbus
Uta stansburiana
Sceloporus olivaceus
Sceloporus grammicus
Sceloporus undulatus
Sceloporus magister
Callisaurus draconoides
Philothamnus semivariegatus
Fowlea piscator
Leptodeira septentrionalis
Pantherophis guttatus
Pantherophis vulpinus
Pantherophis obsoletus
Dolichophis caspius
Ctenosaura similis
Ctenosaura pectinata
Dipsosaurus dorsalis
Liolaemus tenuis
Boa constrictor
Pogona barbata
Amphibolurus muricatus
Rankinia diemensis
Anolis fuscoauratus
Elgaria coerulea
Elgaria multicarinata
Pseudopus apodus
Timon lepidus
Crotaphytus bicinctores
Aspidoscelis sexlineatus
Tympanuchus phasianellus
Alectoris graeca
Coturnix pectoralis
Eurypyga helias
Fulica armillata
Fulica leucoptera
Aramides ypecaha
Aramides saracura
Aramides cajanea
Pardirallus sanguinolentus
Lissotis melanogaster
Lophotis ruficrista
Ardeotis australis
Ardeotis kori
Afrotis afraoides
Turnix pyrrhothorax
Turnix velox
Monasa nigrifrons
Corythaixoides concolor
Eumomota superciliosa
Momotus mexicanus
Coracias abyssinicus
Merops pusillus
Merops orientalis
Merops hirundineus
Merops bullockoides
Megaceryle maxima
Chloroceryle amazona
Chloroceryle aenea
Corythornis cristatus
Todiramphus pyrrhopygius
Ocyceros birostris
Tockus leucomelas
Lophoceros nasutus
Tockus erythrorhynchus
Lophoceros fasciatus
Lophoceros alboterminatus
Cynanthus canivetii
Florisuga mellivora
Amazilia rutila
Chionomesa fimbriata
Amazilia tzacatl
Leucolia violiceps
Amazilia yucatanensis
Saucerottia beryllina
Thalurania furcata
Thalurania glaucopis
Eupetomena macroura
Anthracothorax nigricollis
Anthracothorax prevostii
Sephanoides sephaniodes
Selasphorus platycercus
Selasphorus sasin
Cypsiurus parvus
Aeronautes saxatalis
Nothura maculosa
Dryobates nuttallii
Picoides arcticus
Leuconotopicus albolarvatus
Dryobates scalaris
Dendrocopos syriacus
Melanerpes pucherani
Melanerpes aurifrons
Melanerpes uropygialis
Melanerpes cruentatus
Melanerpes rubricapillus
Melanerpes erythrocephalus
Melanerpes candidus
Campethera abingoni
Colaptes campestris
Colaptes punctigula
Colaptes pitius
Colaptes melanochloros
Veniliornis passerinus
Dendropicos fuscescens
Campephilus guatemalensis
Psilopogon asiaticus
Ramphastos toco
Ramphastos dicolorus
Ramphastos sulfuratus
Ramphastos tucanus
Ramphastos vitellinus
Pteroglossus castanotis
Pteroglossus torquatus
Tricholaema leucomelas
Trachyphonus vaillantii
Lybius torquatus
Forpus conspicillatus
Forpus xanthopterygius
Aratinga leucophthalma
Platycercus adscitus
Platycercus icterotis
Platycercus venustus
Purpureicephalus spurius
Psitteuteles versicolor
Neophema elegans
Neophema pulchella
Neophema chrysostoma
Brotogeris jugularis
Amazona albifrons
Trichoglossus chlorolepidotus
Neopsephotus bourkii
